lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value,abs_std
delta_oppose,~,BFI_A,-1.5971872640918299,-0.46740647747813446,0.4989151257671996,-3.201320588612295,0.0013679923642460068,0.46740647747813446
delta_oppose,~,NFC_Total,-1.1919429537333055,-0.34881436252633174,0.3750242778262072,-3.1783087768053635,0.001481368977381381,0.34881436252633174
delta_oppose,~,IRI_PT,-1.1636476596557688,-0.34053392852130016,0.5425584937817493,-2.1447413928454977,0.03197352940074971,0.34053392852130016
delta_oppose,~,PANAS_NA,1.0783453898985484,0.31557077340198936,0.45776000754602625,2.355700306099302,0.0184878265514421,0.31557077340198936
delta_oppose,~,IRI_EC,0.9297426544590641,0.27208314820177293,0.5494969360683407,1.6919887872527473,0.09064811155348473,0.27208314820177293
delta_oppose,~,BFI_C,0.8054843400709005,0.23571975968041115,0.5031613628908014,1.6008469637683806,0.1094108188178804,0.23571975968041115
delta_oppose,~,BFI_O,-0.6829283520274836,-0.19985454590549565,0.44180591470212466,-1.5457655257657275,0.12216120567738864,0.19985454590549565
delta_oppose,~,IRI_FS,0.6259766748286456,0.18318800753241593,0.638564392309004,0.9802874735375984,0.3269442362493895,0.18318800753241593
delta_oppose,~,IRI_PD,0.5405727463906873,0.15819510266056386,0.38834081374597734,1.3920060092959903,0.16392057823985695,0.15819510266056386
delta_oppose,~,SVS_Openness,0.4541646878400931,0.13290834563409687,0.3633952977425429,1.2497814106571308,0.21137940853018344,0.13290834563409687
delta_oppose,~,SVS_Conservation,-0.358512863207688,-0.10491646051146532,0.34913335513836224,-1.0268651159514157,0.30448398243706665,0.10491646051146532
delta_oppose,~,BFI_N,0.33319792452009384,0.09750820815085605,0.43738161196279224,0.7618014004385648,0.4461785444440447,0.09750820815085605
delta_oppose,~,PANAS_PA,-0.08961430777317204,-0.02622504503359947,0.4455946136532165,-0.20111173929654627,0.8406112028976263,0.02622504503359947
delta_oppose,~,BFI_E,-0.004094096458932304,-0.0011981107333793705,0.4317224918255536,-0.009483166933487277,0.9924336409241101,0.0011981107333793705
